sana;sanatorium
sans spé;sans spécialité
sap;cercueil
sape;costume
sarcif;saucisson
sauce;saucisson
sauci;saucisson
sax;saxophone 
saxo;saxophone 
scan;scanner 
schizo;schizophrène
sciences ex;sciences expérimentales
sciences nat;sciences naturelles
sciences-po;sciences politiques 
scoot;scooter
scénar;scénario 
sensa;sensationnel
sensas;sensationnel 
serg-mag;sergent-major
sergot;sergent
siko;sikorsky 
simu;simulateur de vol 
skin;skin
smok;smoking
soce;société 
socialo;socialiste
socio;sociologie 
sono;matériel de sonorisation 
sordo;sordide
soum;sous-marin 
sous-come;sous-adjudant de surveillance dans les bagnes
sous-d;avant-dernier
sous-in;sous-intendance
spit;spitfire 
spécialo;spécialiste
stabilo;stabilisateur 
stal;stalinien
stigmo;stigmomètre 
stom;estomac
stra;stration
strass;stration
strepto;streptomycine
stude;studebaker 
stup;stupéfiant
stylo;stylo
sténo;sténographe 
stéréo;stéréotype
suppo;suppositoire
surgé;surveillant général
surli;engagé militaire que l'école admet en reculant la limite d'âge 
surnu;surnuméraire 
survêt;survêtement
sympa;sympathique
syphilo;syphilis 
sébasto;sébastopol
sécu;sécurité sociale 
taf;peur
tag;ta gueule 
tana;tananarive
tax;taxi
taxi;taximètre
taxo;taximètre
tempé;température
terri;territorial
terro;terroriste 
thanato;thanatopraxiste
thermo;thermomètre
thoraco;thoracoplastie
tire-au-c;fainéant
titi;tirailleur
tomo;tomographie
topi;topinambour
topo;topol
topo;topographie
tox;toxicomane
tradi;traditionnel
traduc;traduction
tram;tramway
transfo;transformateur électrique
trav;travesti
trav man;travail manuel
trav';travaux publics 
travailler dans le bât;bâtiment
trigo;trigonométrie
troque;troquet 
trouduc;anus
tu p;tu parles 
turbo;moteur turcompressé
typho;typhique 
typo;typographe
télé;téléphoniste
unif;uniforme
uro;urophile
vago;vaguemestre
valo;valorisation 
vario;appareil de pilotage 
vel' d'hiv;vélodrome d'hiver
ventilo;ventilateur 
vers;version 
vibro;vibromasseur
viet;vietnamien 
voite;voiture
vélo;véloce
véloce;vélocipède
vérif;vérification
véto;vétérinaire
vété;vétérinaire
xav;xavier
xylo;xylocaïne 
yank;soldat américain
yougo;yougoslave
zanzi;zanzibar
zef;zéphyr
zepp;zeppelin
zoo;zoologie
zouzou;zouave
à l'estime;à l'estimation
à p;a poil
à répète;à répétition 
ça suf;ça suffit
éco;econome
écolo;écologiste
écopo;economie politique
édito;editorial
éjac;éjaculation
électro;électronicien
émoss;émotion
épilo;epileptique
époil;époilant
état-maj;etat-major
être cap de;être capable de 
être ex;être exempté de faire ou d'obtenir qqchose chose 
être mobilo;être mobilisé 
