short,full,common,added,cut,ending,is_vocal,pos,len_s,len_f,len_ratio
campe,camping,camp,e,ing,e,False,,5,7,1.4
campe,camplouse,camp,e,louse,e,False,,5,9,1.8
camé,caméra,cam,é,era,é,False,,4,6,1.5
canna,cannabis,canna,,bis,a,True,nom,5,8,1.6
cannib's,cannibale,cannib,'s,ale,s,False,,8,9,1.12
cap,capable,cap,,able,p,False,adj,3,7,2.33
cap',capable,cap,e,able,',False,adj,4,7,1.75
capi,capitaine,capi,,taine,i,True,,4,9,2.25
capitalo,capitaliste,capital,o,iste,o,False,nom,8,11,1.37
capite,capitaine,capit,e,aine,e,False,,6,9,1.5
carbu,carburateur,carbu,,rateur,u,True,nom,5,11,2.2
carbure,carburant,carbur,e,ant,e,False,,7,9,1.28
carburo,carburateur,carbur,o,ateur,o,False,nom,7,11,1.57
cardio,cardiologie,cardio,,logie,o,True,nom,6,11,1.83
cardio,cardiologue,cardio,,logue,o,True,nom,6,11,1.83
casa,casablanca,casa,,blanca,a,True,,4,10,2.5
casse,cassement,casse,,ment,e,True,nom,5,9,1.8
casse,cassis,cass,e,is,e,False,,5,6,1.2
cassis-co,cassis-cognac,cassisco,,gnac,o,True,,9,13,1.44
cata,catastrophe,cata,,strofe,a,True,nom,4,11,2.75
cath,cathéter,cath,,eter,h,False,,4,8,2.0
catho,catholique,catho,,lique,o,True,adj,5,10,2.0
caté,catéchisme,cat,é,echisme,é,False,nom,4,10,2.5
cellulo,celluloïd,cellulo,,id,o,True,nom,7,9,1.28
cens,censeur,cens,,eur,s,False,,4,7,1.75
certi,certificat,certi,,ficat,i,True,,5,10,2.0
certif,certificat,certif,,icat,f,False,nom,6,10,1.66
certo,certificat,cert,o,ificat,o,False,,5,10,2.0
ch,cheval,ch,,eval,h,False,nom,2,6,3.0
cha-cha,cha-cha-cha,chacha,,cha,a,True,nom,7,11,1.57
chab,chabanais,chab,,anais,b,False,,4,9,2.25
champ,champagne,champ,,agne,p,False,nom,5,9,1.8
champ',champagne,champ,e,agne,',False,nom,6,9,1.5
champe,champagne,champ,e,agne,e,False,nom,6,9,1.5
chef-op',chef-opérateur,chefope,,rateur,',True,,8,14,1.75
chewing,chewing-gum,chewing,,gum,g,False,nom,7,11,1.57
chi,chimie,chi,,mie,i,True,,3,6,2.0
chik,chikungunya,chik,,ungunya,k,False,nom,4,11,2.75
chimio,chimiothérapie,chimio,,therapie,o,True,nom,6,14,2.33
chipo,chipolata,chipo,,lata,o,True,nom,5,9,1.8
chir,chirurgie,chir,,urgie,r,False,nom,4,9,2.25
chiro,chiropracteur,chiro,,practeur,o,True,nom,5,13,2.6
chiro,chiropraticien,chiro,,praticien,o,True,,5,14,2.8
chirurgo,chirurgien,chirurg,o,ien,o,False,nom,8,10,1.25
choco,chocolat,choco,,lat,o,True,nom,5,8,1.6
choré,chorégraphie,chor,é,egrafie,é,False,nom,5,12,2.4
chromo,chromolithographie,chromo,,lithografie,o,True,nom,6,18,3.0
chrono,chronomètre,chrono,,metre,o,True,nom,6,11,1.83
chrono,chronométreur,chrono,,metreur,o,True,nom,6,13,2.16
chrono,chronométré,chrono,,metré,o,True,,6,11,1.83
chti,chtimi,chti,,mi,i,True,nom,4,6,1.5
châsse,chassant,chass,e,ant,e,False,,6,8,1.33
châsse,châssis,chass,e,is,e,False,,6,7,1.16
château,châteaubriant,chateau,,briant,u,True,nom,7,13,1.85
chèche,chechia,chech,e,ia,e,False,,6,7,1.16
cibi,cibiche,cibi,,che,i,True,,4,7,1.75
cig,cigarette,cig,,arette,g,False,,3,9,3.0
ciné,cinéma,cin,é,ema,é,False,nom,4,6,1.5
cinéma,cinématographe,cinema,,tografe,a,True,nom,6,14,2.33
circule,circulation,circul,e,ation,e,False,,7,11,1.57
claf,clafoutis,claf,,outis,f,False,nom,4,9,2.25
clando,clandestins,cland,o,estins,o,False,,6,11,1.83
claustro,claustrophobie,claustro,,fobie,o,True,nom,8,14,1.75
clignanc,clignancourt,clignanc,,ourt,c,False,,8,12,1.5
cligno,clignotant,cligno,,tant,o,True,,6,10,1.66
clim,climatisation,clim,,atisation,m,False,nom,4,13,3.25
clito,clitoris,clito,,ris,o,True,nom,5,8,1.6
clo,clotilde,clo,,tilde,o,True,nom propre,3,8,2.66
coca,cocaïne,coca,,ine,a,True,nom,4,7,1.75
coco,cocaïne,coc,o,aine,o,False,nom,4,7,1.75
cogne,cognac,cogn,e,ac,e,False,nom,5,6,1.2
collabo,collaborateur,collabo,,rateur,o,True,nom,7,13,1.85
colle,collègue,colle,,gue,e,True,,5,8,1.6
collec,collection,collec,,tion,c,False,nom,6,10,1.66
colo,colonie,colo,,nie,o,True,nom,4,7,1.75
colo,colonies,colo,,nies,o,True,,4,8,2.0
colo,coloscopie,colo,,scopie,o,True,,4,10,2.5
coloc,colocataire,coloc,,ataire,c,False,nom,5,11,2.2
coloc,colocation,coloc,,ation,c,False,nom,5,10,2.0
colog,cologarithme,colog,,arithme,g,False,nom,5,12,2.4
colon,colonel,colon,,el,n,False,nom,5,7,1.4
com,commentaire,com,,mentaire,m,False,,3,11,3.66
com,communication,com,,munication,m,False,nom,3,13,4.33
combi,combinaison,combi,,naison,i,True,,5,11,2.2
combi,combinatiewagen,combi,,natiewagen,i,True,,5,15,3.0
combinaise,combinaison,combinais,e,on,e,False,,10,11,1.1
combine,combinaison,combin,e,aison,e,False,nom,7,11,1.57
combo,combination,comb,o,ination,o,False,,5,11,2.2
come,commerce,com,e,merce,e,False,,4,8,2.0
comm,commandant,comm,,andant,m,False,,4,10,2.5
comm',commission,comm,e,ission,',False,,5,10,2.0
compil,compilation,compil,,ation,l,False,nom,6,11,1.83
compile,compilation,compil,e,ation,e,False,nom,7,11,1.57
compo,composition,compo,,sition,o,True,nom,5,11,2.2
compose,composition,compos,e,ition,e,False,,7,11,1.57
compta,comptabilité,compta,,bilité,a,True,nom,6,12,2.0
compte,comptoir,compt,e,oir,e,False,,6,8,1.33
compète,compétition,compet,e,ition,e,False,,7,11,1.57
compé,compétition,comp,é,etition,é,False,nom,5,11,2.2
compét',compétition,compet,e,ition,',False,nom,7,11,1.57
condi,conditionnelle,condi,,tionnelle,i,True,,5,14,2.8
condo,condensateur,cond,o,ensateur,o,False,,5,12,2.4
condo,condominium,condo,,minium,o,True,nom,5,11,2.2
conf,confiance,conf,,iance,f,False,,4,9,2.25
congel,congélateur,congel,,ateur,l,False,nom,6,11,1.83
congélo,congélateur,congel,o,ateur,o,False,nom,7,11,1.57
conso,consolidation,conso,,lidation,o,True,nom,5,13,2.6
conso,consommation,conso,,mmation,o,True,nom,5,12,2.4
consom,consommation,consom,,mation,m,False,,6,12,2.0
consomme,consommation,consomm,e,ation,e,False,,8,12,1.5
constates,constatations,constat,es,ations,s,False,,9,13,1.44
contre-app,contre-appel,contreapp,,el,p,False,,10,12,1.2
contrib,contribution,contrib,,ution,b,False,nom,7,12,1.71
convalo,convalescence,conval,o,escence,o,False,,7,13,1.85
converse,conversation,convers,e,ation,e,False,,8,12,1.5
convoc,convocation,convoc,,ation,c,False,,6,11,1.83
coop,coopérative,coop,,erative,p,False,,4,11,2.75
cop,copain,cop,,ain,p,False,,3,6,2.0
cora,coralie,cora,,lie,a,True,,4,7,1.75
corbi,corbillard,corbi,,llard,i,True,,5,10,2.0
corono,coronarographie,coron,o,arografie,o,False,nom,6,15,2.5
cory,corydrane,cory,,drane,y,True,,4,9,2.25
cosec,cosécante,cosec,,ante,c,False,nom,5,9,1.8
cosmo,cosmographie,cosmo,,grafie,o,True,,5,12,2.4
cosméto,cosmétologie,cosmeto,,logie,o,True,nom,7,12,1.71
couv',couverture,couve,,rture,',True,,5,10,2.0
couve,couverture,couve,,rture,e,True,,5,10,2.0
crape,crapule,crap,e,ule,e,False,,5,7,1.4
crasp,craspec,crasp,,ec,p,False,,5,7,1.4
crime,criminelle,crim,e,inelle,e,False,nom,5,10,2.0
croco,crocodile,croco,,dile,o,True,nom,5,9,1.8
cross-merch,cross-merchandising,crossmerch,,andising,h,False,,11,19,1.72
cryo,cryogénisation,cryo,,genisation,o,True,,4,14,3.5
crypto,cryptographie,crypto,,grafie,o,True,,6,13,2.16
crypto,cryptologie,crypto,,logie,o,True,,6,11,1.83
créa,créatif,crea,,tif,a,True,,4,7,1.75
créa,création,crea,,tion,a,True,nom,4,8,2.0
cubi,cubitainer,cubi,,tainer,i,True,nom,4,10,2.5
cuir,cuirassier,cuir,,assier,r,False,,4,10,2.5
cuni,cunilingus,cuni,,lingus,i,True,nom,4,10,2.5
cunni,cunnilingus,cunni,,lingus,i,True,,5,11,2.2
cuti,cuti-réaction,cuti,,reaction,i,True,nom,4,13,3.25
cuti,cutiréaction,cuti,,reaction,i,True,,4,12,3.0
cyber,cybercafé,cyber,,café,r,False,,5,9,1.8
cyber,cybernétique,cyber,,netique,r,False,adj,5,12,2.4
cyber,cybersex,cyber,,sex,r,False,,5,8,1.6
cyber-,cybernetic,cyber,,netic,-,False,adj,6,10,1.66
cyber-,cybernétique,cyber,,netique,-,False,,6,12,2.0
cyclo,cyclomoteur,cyclo,,moteur,o,True,nom,5,11,2.2
cyno,cynocéphale,cyno,,cefale,o,True,nom,4,11,2.75
d'ac,d'accord,ac,,cord,c,False,adv,4,8,2.0
d'acc,d'accord,acc,,ord,c,False,adv,5,8,1.6
d'autor,d'autorité,autor,,ité,r,False,adv,7,10,1.42
dactyle,dactylopodite,dactyl,e,opodite,e,False,nom,7,13,1.85
dactylo,dactylographe,dactylo,,grafe,o,True,,7,13,1.85
dactylo,dactylographie,dactylo,,grafie,o,True,nom,7,14,2.0
dago,dagobert,dago,,bert,o,True,,4,8,2.0
deb,debutante,deb,,utante,b,False,nom,3,9,3.0
deb,débutante,deb,,utante,b,False,,3,9,3.0
demi,demi-chopine,demi,,chopine,i,True,,4,12,3.0
demi,demiard,demi,,ard,i,True,,4,7,1.75
der,dernier,der,,nier,r,False,adj,3,7,2.33
dermato,dermatologie,dermato,,logie,o,True,nom,7,12,1.71
dermato,dermatologue,dermato,,logue,o,True,nom,7,12,1.71
dess,dessin,dess,,in,s,False,,4,6,1.5
dia,diapositive,dia,,positive,a,True,,3,11,3.66
diam,diamant,diam,,ant,m,False,nom,4,7,1.75
diapo,diapositive,diapo,,sitive,o,True,nom,5,11,2.2
diatro,diatronicien,diatro,,nicien,o,True,,6,12,2.0
dico,dictionnaire,dic,o,tionnaire,o,False,nom,4,12,3.0
didact,didactique,didact,,ique,t,False,adj,6,10,1.66
dingo,dingue,ding,o,ue,o,False,,5,6,1.2
dino,dinosaure,dino,,saure,o,True,nom,4,9,2.25
diplo,diplomatie,diplo,,matie,o,True,nom,5,10,2.0
directo,directement,direct,o,ement,o,False,adv,7,11,1.57
disco,discoteca,disco,,teca,o,True,,5,9,1.8
disco,discotheque,disco,,theque,o,True,,5,11,2.2
disco,discothèque,disco,,theque,o,True,nom,5,11,2.2
dispo,disponible,dispo,,nible,o,True,adj,5,10,2.0
dispo,dispositif,dispo,,sitif,o,True,,5,10,2.0
dissert,dissertation,dissert,,ation,t,False,nom,7,12,1.71
disserte,dissertation,dissert,e,ation,e,False,nom,8,12,1.5
distrib,distribution,distrib,,ution,b,False,nom,7,12,1.71
doc,docteur,doc,,teur,c,False,,3,7,2.33
doc,document,doc,,ument,c,False,nom,3,8,2.66
doc,documentation,doc,,umentation,c,False,nom,3,13,4.33
docu,documentaire,docu,,mentaire,u,True,adj,4,12,3.0
dolicho,dolichocéphale,dolicho,,cefale,o,True,,7,14,2.0
dome,domicile,dom,e,icile,e,False,,4,8,2.0
domi,dominique,domi,,nique,i,True,nom propre,4,9,2.25
dort,dortoir,dort,,oir,t,False,,4,7,1.75
dorto,dortoir,dorto,,ir,o,True,,5,7,1.4
drag,dragster,drag,,ster,g,False,,4,8,2.0
drug,drug-store,drug,,store,g,False,nom,4,10,2.5
drug,drugstore,drug,,store,g,False,nom,4,9,2.25
dèche,déchéance,deche,,ance,e,True,,5,9,1.8
déb,débile,deb,,ile,b,False,adj,3,6,2.0
déca,décaféiner,deca,,feiner,a,True,nom,4,10,2.5
déca,décaféiné,deca,,feiné,a,True,adj,4,9,2.25
déci,décilitre,deci,,litre,i,True,nom,4,9,2.25
déco,déconnexion,deco,,nnexion,o,True,,4,11,2.75
déco,décoration,deco,,ration,o,True,nom,4,10,2.5
dégueu,dégueulasse,degueu,,lasse,u,True,adj,6,11,1.83
dégui,déguisé,degui,,sé,i,True,,5,7,1.4
dém,démission,dem,,ission,m,False,nom,3,9,3.0
démago,démagogique,demago,,gique,o,True,,6,11,1.83
démago,démagogue,demago,,gue,o,True,nom,6,9,1.5
démo,démonstration,demo,,nstration,o,True,nom,4,13,3.25
démoc,démocrate,democ,,rate,c,False,,5,9,1.8
déo,déodorant,deo,,dorant,o,True,,3,9,3.0
désert,déserteur,desert,,eur,t,False,,6,9,1.5
désintoxe,désintoxication,desintox,e,ication,e,False,nom,9,15,1.66
déso,désolé,deso,,lé,o,True,adj,4,6,1.5
déter,déterminé,deter,,miné,r,False,adj,5,9,1.8
e-cig,e-cigarette,ecig,,arette,g,False,nom,5,11,2.2
ecsta,ecstasy,ecsta,,sy,a,True,nom,5,7,1.4
elisa,elisabeth,elisa,,beth,a,True,nom propre,5,9,1.8
embroc,embrocation,embroc,,ation,c,False,nom,6,11,1.83
emmerde,emmerdement,emmerde,,ment,e,True,nom,7,11,1.57
emmerdes,emmerdement,emmerde,s,ment,s,True,,8,11,1.37
encéphalo,encéphalite,encefal,o,ite,o,False,,9,11,1.22
enduro,endurance,endur,o,ance,o,False,nom,6,9,1.5
engueulo,engueulade,engueul,o,ade,o,False,,8,10,1.25
entourloupe,entourloupette,entourloupe,,tte,e,True,nom,11,14,1.27
es,escroc,es,,croc,s,False,,2,6,3.0
escal,escalier,escal,,ier,l,False,,5,8,1.6
escort,escort-girl,escort,,girl,t,False,nom,6,11,1.83
esq,esquire,esq,,uire,q,False,nom,3,7,2.33
esq,esquisse,esq,,uisse,q,False,,3,8,2.66
estom,estomac,estom,,ac,m,False,nom,5,7,1.4
estome,estomac,estom,e,ac,e,False,nom,6,7,1.16
ethno,ethnologie,ethno,,logie,o,True,nom,5,10,2.0
euro,europe,euro,,pe,o,True,,4,6,1.5
exam,examen,exam,,en,m,False,nom,4,6,1.5
exc,excellence,exc,,ellence,c,False,nom,3,10,3.33
exhibi,exhibitionniste,exhibi,,tionniste,i,True,nom,6,15,2.5
exo,exercice,ex,o,ercice,o,False,,3,8,2.66
exo,extérieur,ex,o,terieur,o,False,,3,9,3.0
expat,expatriate,expat,,riate,t,False,nom,5,10,2.0
expat,expatrié,expat,,rié,t,False,,5,8,1.6
expo,exposition,expo,,sition,o,True,nom,4,10,2.5
export,exportation,export,,ation,t,False,nom,6,11,1.83
expé,expédition,exp,é,edition,é,False,nom,4,10,2.5
extra,extraordinaire,extra,,ordinaire,a,True,adj,5,14,2.8
exté,extérieur,ext,é,erieur,é,False,,4,9,2.25
fac,faculté,fac,,ulté,c,False,nom,3,7,2.33
falze,falzard,falz,e,ard,e,False,,5,7,1.4
fan,fanatic,fan,,atic,n,False,adj,3,7,2.33
fan,fanatique,fan,,atique,n,False,adj,3,9,3.0
fana,fanatique,fana,,tique,a,True,adj,4,9,2.25
far,farci,far,,ci,r,False,adj,3,5,1.66
fauffe,faufière,fauf,e,iere,e,False,,6,8,1.33
fav',favori,fav,e,ori,',False,,4,6,1.5
fell,fellagha,fell,,agha,l,False,,4,8,2.0
ferro,ferroprussiate,ferro,,prussiate,o,True,nom,5,14,2.8
ferry,ferry-boat,ferry,,boat,y,True,nom,5,10,2.0
filmo,filmographie,filmo,,grafie,o,True,,5,12,2.4
flip,flip-flap,flip,,flap,p,False,,4,9,2.25
flip,flipper,flip,,per,p,False,nom,4,7,1.75
flo,flora,flo,,ra,o,True,,3,5,1.66
flo,florence,flo,,rence,o,True,nom propre,3,8,2.66
flo,florian,flo,,rian,o,True,,3,7,2.33
fluo,fluorescent,fluo,,rescent,o,True,adj,4,11,2.75
